tier,edit_type,edit_detail,ratio,word_a,freq_a,example_a,word_b,freq_b,example_b,decision,preferred_form,notes
auto,indel,i,149.7,w'andu,898,W'andu w'iboilwagha ni kubonya maw'iw'i.,w'anidu,6,Awa ni w'anidu wabaha,,,
auto,indel,e,179.6,w'andu,898,W'andu w'iboilwagha ni kubonya maw'iw'i.,w'anedu,5,Namvoya w'anedu mkaie sa iji koni niko.,,,
auto,substitution,u/i,224.5,w'andi,4,W'andi w'amu walaghashire maisha.,w'andu,898,W'andu w'iboilwagha ni kubonya maw'iw'i.,,,
auto,substitution,s/g,14.3,ghwa,557,Wutamaduni ghwa isanga jedu ni wuzuri,shwa,39,Iji igare jadima kwa shwa sana.,,,
auto,substitution,u/w,111.4,ghua,5,Naenda ghua Mwemba,ghwa,557,Wutamaduni ghwa isanga jedu ni wuzuri,,,
auto,indel,h,139.2,ghwa,557,Wutamaduni ghwa isanga jedu ni wuzuri,gwa,4,Mchezo gwa moira ghwa mindi ghwmanyikie,,,
auto,substitution,i/w,139.2,ghia,4,"Na ngera kama niwupande ghobonya kama zoghori huwu wakati wandu wawa vindo vawo, mwauzira masanga ghia na ghia?",ghwa,557,Wutamaduni ghwa isanga jedu ni wuzuri,,,
auto,substitution,g/j,18.1,gha,526,Wusalama gha barabarenyi ni muhimu saana,jha,29,Ishati jhake ni jha misharia,,,
auto,substitution,a/e,65.8,gha,526,Wusalama gha barabarenyi ni muhimu saana,ghe,8,Wazazi wafunya malengo ghe teseia.,,,
auto,indel,o,75.1,gha,526,Wusalama gha barabarenyi ni muhimu saana,ogha,7,Kaenda Mombasa na kwende baharinyi kwa ogha na machi gha chumbi,,,
auto,substitution,u/h,87.7,gha,526,Wusalama gha barabarenyi ni muhimu saana,gua,6,Mao waenda gua mbogha kinyangeyi.,,,
auto,substitution,o/a,87.7,gha,526,Wusalama gha barabarenyi ni muhimu saana,gho,6,Ihii nyumba eko na wulalo gho horesha.,,,
auto,indel,u,105.2,gha,526,Wusalama gha barabarenyi ni muhimu saana,ghua,5,Naenda ghua Mwemba,,,
auto,indel,i,131.5,gha,526,Wusalama gha barabarenyi ni muhimu saana,ghia,4,"Na ngera kama niwupande ghobonya kama zoghori huwu wakati wandu wawa vindo vawo, mwauzira masanga ghia na ghia?",,,
auto,substitution,w/h,131.5,gha,526,Wusalama gha barabarenyi ni muhimu saana,gwa,4,Mchezo gwa moira ghwa mindi ghwmanyikie,,,
auto,indel,v,23.0,indo,21,Kusedile hata indo jimweri,vindo,483,Vindo vako vaka tayari,,,
auto,substitution,k/v,24.1,kindo,20,Sikunde kindo chingi nekunda lukundo.,vindo,483,Vindo vako vaka tayari,,,
auto,substitution,b/m,12.8,bwana,36,Kukaia na irumirio na Bwana.,mwana,462,W'eni mwana mkelie inyo.,,,
auto,substitution,o/u,161.0,vindo,483,Vindo vako vaka tayari,vindu,3,W'andu w'etonywa ni mada w'endaw'ona vindu ivo visingie.,,,
auto,substitution,u/i,16.2,machi,455,Kuseliwe kunywa machi gha kutosha,machu,28,Inja machu ghako.,,,
auto,substitution,a/w,24.3,maana,19,Wufundi ni wujuzi ghwa maana,mwana,462,W'eni mwana mkelie inyo.,,,
auto,substitution,m/f,33.0,fwana,14,Kuaeliwe kughua vilambo va fwana,mwana,462,W'eni mwana mkelie inyo.,,,
auto,substitution,o/a,51.3,mwana,462,W'eni mwana mkelie inyo.,mwano,9,Obonya mwano.,,,
auto,substitution,m/n,41.4,machi,455,Kuseliwe kunywa machi gha kutosha,nachi,11,Nachi ozerwa w'ei wabonya miujiza ya tee.,,,
auto,indel,d,154.0,mwana,462,W'eni mwana mkelie inyo.,mwanda,3,Isanga jedu ja Mwanda jechaghaluka,,,
auto,substitution,k/m,154.0,kwana,3,Dedeka dikwane lakini ndediche kwana,mwana,462,W'eni mwana mkelie inyo.,,,
auto,substitution,c/j,12.7,cha,367,Charo cha moda mbaha nichesisimua,jha,29,Ishati jhake ni jha misharia,,,
auto,indel,o,20.4,cha,367,Charo cha moda mbaha nichesisimua,ocha,18,Ocha kwapo ighuo,,,
auto,indel,n,40.8,cha,367,Charo cha moda mbaha nichesisimua,ncha,9,Mando ghamu ni ncha kubonya mazoezi,,,
auto,indel,u,61.2,cha,367,Charo cha moda mbaha nichesisimua,chua,6,Chongonyi kwake kwa chua maghesho pacha,,,
auto,indel,m,61.2,cha,367,Charo cha moda mbaha nichesisimua,mcha,6,Aba mlungu Koko mcha na kwaine wughoma.,,,
auto,substitution,e/a,61.2,cha,367,Charo cha moda mbaha nichesisimua,che,6,Ghenda kulole chaghu che bonya,,,
auto,substitution,o/a,61.2,cha,367,Charo cha moda mbaha nichesisimua,cho,6,Cho dije dadeka mswara na mnavu.,,,
auto,substitution,k/b,13.3,bila,26,Vilongozi wefwana kuhudumia wananchi bila kubagua ungi,kila,346,Poilwa ni kila ngelo y amaisha,,,
auto,indel,i,91.8,cha,367,Charo cha moda mbaha nichesisimua,icha,4,Dibora chumbo ilinga njumwa icha ikanisenyi?,,,
auto,indel,u,91.8,cha,367,Charo cha moda mbaha nichesisimua,ucha,4,Ucha ghudishwa,,,
auto,indel,o,91.8,cha,367,Charo cha moda mbaha nichesisimua,chao,4,Chao ichi cheko na malagho ghipoie.,,,
auto,substitution,n/y,12.2,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,w'aya,28,Orekoghe na w'wana ghodeda ghuseko na w'aya.,,,
auto,substitution,a/o,28.8,kila,346,Poilwa ni kila ngelo y amaisha,kilo,12,Enda idukenyi kuuziro mapemba kilo isanau alafu kushelo mufu.,,,
auto,substitution,l/m,28.8,kila,346,Poilwa ni kila ngelo y amaisha,kima,12,Kuseide mbao kima,,,
auto,substitution,l/n,57.7,kila,346,Poilwa ni kila ngelo y amaisha,kina,6,Kina chakotwa,,,
auto,substitution,k/m,69.2,kila,346,Poilwa ni kila ngelo y amaisha,mila,5,Isanga iji jeko na mila riboie.,,,
auto,substitution,a/o,38.0,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,w'ona,9,W'ona seji w'ajikucha,,,
