tier,edit_type,edit_detail,ratio,word_a,freq_a,example_a,word_b,freq_b,example_b,decision,preferred_form,notes
review,substitution,y/w,2.0,wapo,185,Mwatulituli wapo wawepata shida ya mtandao,yapo,92,Nyumba yapo yeka kavui na moda,,,
review,substitution,w/r,2.2,rapo,85,Nguwo rapo rachafuka,wapo,185,Mwatulituli wapo wawepata shida ya mtandao,,,
review,substitution,s/u,5.6,shuu,229,Nazughwa shuu.,uhuu,41,Uhuu mndu oka na kazi ipoie.,,,
review,substitution,a/o,1.6,aho,101,Aho niko kuchaadima kutala.,oho,165,Ni oho mngara wapo.,,,
review,substitution,o/a,1.4,agha,157,Agha ni matuku gha kutua mbai.,agho,109,Maw'iw'i agho.,,,
review,substitution,u/a,1.4,kala,113,Sere yake idadua kwa kala na kala.,kula,153,Nyonyi ridima kusafiri kula,,,
review,substitution,p/k,2.3,wako,81,Kunda jirani wako seji kujikunde,wapo,185,Mwatulituli wapo wawepata shida ya mtandao,,,
review,indel,i,9.1,chia,237,Sanaa ni chia yejieleza,ichia,26,Mokunda kukaba mori ichia mwawedafuna boboro.,,,
review,substitution,s/w,1.7,sana,164,Safari yedu yesafiri kuenda mbugenyi yekoghe yesisimua sana,wana,97,Wana wawecheza kiwachenyi,,,
review,substitution,w/m,9.8,mundu,234,Kula mundu unyonyorelo mudinyi.,wundu,24,Mdamu oko na wundu miki ghukurie shuu.,,,
review,substitution,h/b,3.3,aba,59,Ghenda kwa aba kumkotie uche na iseghe.,aha,197,Ini aha nakoja kukaia moyo.,,,
review,substitution,t/h,3.4,aha,197,Ini aha nakoja kukaia moyo.,ata,58,"Ghenda ata kwake,oka andenyi nyumbeni",,,
review,substitution,k/h,1.9,oho,165,Ni oho mngara wapo.,oko,88,Mlungu oko moyo.,,,
review,substitution,h/p,3.6,aha,197,Ini aha nakoja kukaia moyo.,apa,55,Dikaghenda hotelinyi na apa.,,,
review,substitution,j/y,1.1,ijo,119,Ituku ijo.,iyo,133,Igho jiko moyo na iyo mbari ya wueli.,,,
review,indel,g,1.4,ughu,105,Mzi ughu ghoko na skulu nyinyi,uhu,144,Uhu orekoghe uniereshere udehamishwa.,,,
review,substitution,o/e,1.5,mae,101,Mae wafwa imbe.,mao,148,Lukundo lwa mao ni lwa kipekee,,,
review,substitution,n/h,3.7,hao,195,Kio ichi chose kuendaa hao?,nao,53,Nao jesu ukawizera wanughi wake.,,,
review,indel,k,3.0,kwapo,61,Sikira kuruma kwapo.,wapo,185,Mwatulituli wapo wawepata shida ya mtandao,,,
review,substitution,k/l,3.5,eka,54,Eka ghadi na ghadi ya bahari.,ela,190,Ela w'ose w'eelaghaya.,,,
review,indel,i,3.5,w'a,185,W'alodi w'a tee w'echachurikia.,w'ai,53,W'ai w'adadu w'aghenda mbuw'enyi kuw'waya mbogha,,,
review,substitution,h/j,4.9,aha,197,Ini aha nakoja kukaia moyo.,aja,40,Neshomea skulu aja____,,,
review,indel,n,2.3,saa,72,Saa muka uko na kifu.,sana,164,Safari yedu yesafiri kuenda mbugenyi yekoghe yesisimua sana,,,
review,substitution,i/o,1.0,iji,114,Iji w'aw'onyera lubando uchaainjwa.,ijo,119,Ituku ijo.,,,
review,substitution,w/j,3.9,japo,47,Irina Japo ni Mwamburi,wapo,185,Mwatulituli wapo wawepata shida ya mtandao,,,
review,indel,',4.1,w'apo,45,Awa w'ose ni w'akinyumba w'apo,wapo,185,Mwatulituli wapo wawepata shida ya mtandao,,,
review,substitution,w/v,4.2,vapo,44,Mbori raaw'uya vindo vapo.,wapo,185,Mwatulituli wapo wawepata shida ya mtandao,,,
review,substitution,e/m,3.2,eka,54,Eka ghadi na ghadi ya bahari.,mka,173,Mka oko na kwaw'o.,,,
review,indel,a,4.5,aw'a,41,Aw'a w'ikuserie w'ichapata maboilo.,w'a,185,W'alodi w'a tee w'echachurikia.,,,
review,substitution,a/j,6.8,aha,197,Ini aha nakoja kukaia moyo.,jha,29,Ishati jhake ni jha misharia,,,
review,substitution,y/r,1.4,radima,93,Ndodo rako radima kuka loli,yadima,132,Kazi ya ikwanyiko yadima kuka ipoiye zaidi,,,
review,substitution,e/o,4.6,wape,40,Mkeku wawamnosa mwana wape.,wapo,185,Mwatulituli wapo wawepata shida ya mtandao,,,
review,substitution,j/h,1.0,ihi,109,Mruke ni ghwa ighu nadime ihi,iji,114,Iji w'aw'onyera lubando uchaainjwa.,,,
review,substitution,w/m,1.3,mana,123,Msinde mana.,wana,97,Wana wawecheza kiwachenyi,,,
review,substitution,k/d,1.2,w'ada,120,W'adaw'ida w'ada poilwa ni chai,w'aka,97,W'aka w'eka na ghawo.,,,
review,substitution,h/w,9.8,aha,197,Ini aha nakoja kukaia moyo.,awa,20,Awa wiwae widima kupata.,,,
review,substitution,r/y,1.6,iro,83,Nichaamumanyisha iro maza.,iyo,133,Igho jiko moyo na iyo mbari ya wueli.,,,
review,substitution,z/n,1.3,mana,123,Msinde mana.,maza,92,Ini ni mshomi wa maza ra sayansi,,,
review,substitution,l/j,2.6,kuja,59,Familia yapo yadapoilwa kuja andwamweri kila jioni,kula,153,Nyonyi ridima kusafiri kula,,,
review,indel,g,1.1,agho,109,Maw'iw'i agho.,aho,101,Aho niko kuchaadima kutala.,,,
review,indel,y,2.5,mao,148,Lukundo lwa mao ni lwa kipekee,mayo,59,Wele mayo waenda hao namulola nikamsowa idime.,,,
review,indel,a,5.1,maka,34,Nazoe kukora maka,mka,173,Mka oko na kwaw'o.,,,
review,substitution,o/i,1.2,ichi,94,Nalomba kunitesie na chaghu ichi,icho,112,Nasowie dilo kufuma icho.,,,
review,indel,b,6.8,nyuma,26,Niko nyuma ya miaka midadu ngajoka.,nyumba,178,Nyumba yapo yeka kavui na moda,,,
review,indel,c,1.2,ichi,94,Nalomba kunitesie na chaghu ichi,ihi,109,Mruke ni ghwa ighu nadime ihi,,,
review,indel,',2.7,w'ose,148,W'ose w'izamilwagha ni ini w'eekunda kufwa.,wose,55,Wusafiri ghwa wandu wose ni chia ipoiye yesafiri,,,
review,substitution,r/j,1.4,ijo,119,Ituku ijo.,iro,83,Nichaamumanyisha iro maza.,,,
review,substitution,l/k,3.6,kii,157,Nikuneke kii awai.,lii,44,Kucha lii na weke wawa wapo niwiwone?,,,
review,substitution,m/n,2.8,mao,148,Lukundo lwa mao ni lwa kipekee,nao,53,Nao jesu ukawizera wanughi wake.,,,
review,substitution,y/w,1.9,wadima,68,"Kusakeobua, wadima kukaia moyo.",yadima,132,Kazi ya ikwanyiko yadima kuka ipoiye zaidi,,,
review,substitution,o/i,3.9,kii,157,Nikuneke kii awai.,kio,40,Kio ichi chose kuendaa hao?,,,
review,indel,h,2.4,ata,58,"Ghenda ata kwake,oka andenyi nyumbeni",hata,138,Midi riseko hata kiju ndechikaa.,,,
review,substitution,e/o,1.4,wake,114,Mumi wake ni kitoi.,wako,81,Kunda jirani wako seji kujikunde,,,
review,substitution,i/u,8.3,skuli,21,Nawaenja mwana skuli ngelo ra saa ikenda uwu.,skulu,174,Wnake wefwana kuenda skulu,,,
review,indel,u,9.7,skulu,174,Wnake wefwana kuenda skulu,sukulu,18,Kakaia sukulu kusebonye ikosa jingi,,,
review,substitution,a/u,1.3,agho,109,Maw'iw'i agho.,ugho,81,Ugho ni w'ukelu.,,,
review,indel,o,2.7,moni,51,Mndu uamue moni ichi uchaja.,omoni,137,Ngelo yeghala ni omoni okirieghe.,,,
review,substitution,i/p,1.0,miaka,93,Karne ni miaka ighana jimweri,mpaka,95,Nawona mundu wakimbia kufuma voi mpaka Mwatate usehoreshere anduangi,,,
review,substitution,o/u,1.1,oko,88,Mlungu oko moyo.,uko,99,Mwanafunzi upoiye ni uja uko na tabia ripoiye na ishima ja hali ya ighu,,,
review,substitution,j/r,1.6,iji,114,Iji w'aw'onyera lubando uchaainjwa.,iri,72,Ola kurighore maza iri.,,,
review,substitution,u/o,1.3,ugho,81,Ugho ni w'ukelu.,ughu,105,Mzi ughu ghoko na skulu nyinyi,,,
review,indel,u,3.5,uhu,144,Uhu orekoghe uniereshere udehamishwa.,uhuu,41,Uhuu mndu oka na kazi ipoie.,,,
review,indel,h,5.6,kihi,28,Daw'ida mwaw'aa kihi?,kii,157,Nikuneke kii awai.,,,
review,substitution,l/a,8.2,awa,20,Awa wiwae widima kupata.,lwa,164,Nadima kusikira lwaka lwa ndege,,,
review,indel,k,2.1,kuja,59,Familia yapo yadapoilwa kuja andwamweri kila jioni,uja,124,Mwanafunzi upoiye ni uja uko na tabia ripoiye na ishima ja hali ya ighu,,,
review,indel,h,2.6,mbaa,132,Lukundo ni nguvu mbaa,mbaha,51,Charo cha moda mbaha nichesisimua,,,
review,substitution,b/z,3.8,mburi,145,Kochokocho ra mburi.,mzuri,38,Mzuri usaghulo ni Mlungu.,,,
review,substitution,j/s,1.7,iji,114,Iji w'aw'onyera lubando uchaainjwa.,isi,69,Isi ni raiya wa dunia ihi,,,
review,substitution,a/u,3.8,mbari,38,Igho jiko moyo na iyo mbari ya wueli.,mburi,145,Kochokocho ra mburi.,,,
review,substitution,s/v,9.1,sana,164,Safari yedu yesafiri kuenda mbugenyi yekoghe yesisimua sana,vana,18,Vana vakongodwa,,,
review,indel,b,6.5,agha,157,Agha ni matuku gha kutua mbai.,bagha,24,Ini ne Mkatoliki nawelindiliwa ni bagha ya Kristo.,,,
review,substitution,h/r,1.5,ihi,109,Mruke ni ghwa ighu nadime ihi,iri,72,Ola kurighore maza iri.,,,
review,substitution,w/y,1.7,wake,114,Mumi wake ni kitoi.,yake,67,Kila mndu woko na miri na asili yake,,,
review,substitution,r/w,1.7,rake,66,Mbenge rake rachikanya.,wake,114,Mumi wake ni kitoi.,,,
review,substitution,p/w,1.1,mpaka,95,Nawona mundu wakimbia kufuma voi mpaka Mwatate usehoreshere anduangi,mwaka,84,Mwaka mbishi ni nafasi yezoya wuwishi,,,
review,indel,p,7.5,agha,157,Agha ni matuku gha kutua mbai.,pagha,21,Mbvua yake yawerucha pagha/ Msanga mbua,,,
review,indel,g,2.7,w'engi,130,Ngera ni angu lukundo lwa w'engi losia,w'eni,48,W'eni mwana mkelie inyo.,,,
review,substitution,h/s,1.6,ihi,109,Mruke ni ghwa ighu nadime ihi,isi,69,Isi ni raiya wa dunia ihi,,,
review,substitution,r/k,2.4,mkongo,52,Ukakakongoma kumanye waw'uya mkongo.,mrongo,125,Africa yeka na mazanga mrongo isanu na inya,,,
review,substitution,i/w,1.1,miaka,93,Karne ni miaka ighana jimweri,mwaka,84,Mwaka mbishi ni nafasi yezoya wuwishi,,,
review,substitution,y/r,1.1,rapo,85,Nguwo rapo rachafuka,yapo,92,Nyumba yapo yeka kavui na moda,,,
review,indel,',3.1,m'baa,43,Mlodi m'baa ukasigharika ngomenyi kwa mzuri.,mbaa,132,Lukundo ni nguvu mbaa,,,
review,substitution,a/o,2.4,moda,51,Nyumba yapo yeka kavui na moda,modo,124,Ngelo ra mruke ni ra modo saana,,,
review,substitution,d/k,8.7,dii,18,Vua esindanya dii.,kii,157,Nikuneke kii awai.,,,
review,substitution,m/h,4.6,uhu,144,Uhu orekoghe uniereshere udehamishwa.,umu,31,"Kuagha sere ni ijukumu ja kila umu ,mbaa na hata mtini.",,,
review,substitution,u/o,5.0,mbori,29,Mbori raaw'uya vindo vapo.,mburi,145,Kochokocho ra mburi.,,,
review,indel,',2.3,w'ada,120,W'adaw'ida w'ada poilwa ni chai,wada,53,Da dibonyaa wada.,,,
review,substitution,r/v,1.8,rose,112,Nyonyi rose ra mbeonyi nariichi.,vose,61,Dichatesia vipughi venyu vose.,,,
review,substitution,j/d,2.3,w'ada,120,W'adaw'ida w'ada poilwa ni chai,w'aja,53,Paulo na w'aja w'adumi w'azima.,,,
review,indel,n,3.5,inyo,38,Seremmanyireghe inyo.,iyo,133,Igho jiko moyo na iyo mbari ya wueli.,,,
review,substitution,d/z,5.6,mdinyi,26,Wavavirika/Washoghonoka ukisarigha mdinyi,mzinyi,145,Ndekuna anduangi kupoiye sa mzinyi,,,
review,substitution,l/r,8.5,kula,153,Nyonyi ridima kusafiri kula,kura,18,Kuseliwe kura kofia ya wusalama,,,
review,substitution,o/a,3.5,mbaa,132,Lukundo ni nguvu mbaa,mboa,38,Kuende mboa mboa,,,
review,substitution,i/u,2.8,ija,45,Skulu ija yeaghwa kavui na moda,uja,124,Mwanafunzi upoiye ni uja uko na tabia ripoiye na ishima ja hali ya ighu,,,
review,indel,i,1.8,mdi,60,Mdi ghwadamanyika kwa matunda gharo.,midi,108,Midi idareda vua.,,,
review,substitution,a/e,1.4,w'aka,97,W'aka w'eka na ghawo.,w'eka,71,W'andu w'eka na w'uya mzima mzima.,,,
review,indel,i,1.9,ihi,109,Mruke ni ghwa ighu nadime ihi,ihii,58,Ihii kalamu eko na wino ghupoie.,,,
review,substitution,r/w,2.0,rose,112,Nyonyi rose ra mbeonyi nariichi.,wose,55,Wusafiri ghwa wandu wose ni chia ipoiye yesafiri,,,
review,indel,g,2.9,mana,123,Msinde mana.,manga,43,Manga wa kiju.,,,
review,indel,s,2.1,w'ai,53,W'ai w'adadu w'aghenda mbuw'enyi kuw'waya mbogha,w'asi,112,Ilombi jelomba w'utesia ngelo kwapata w'asi.,,,
review,indel,h,3.0,uja,124,Mwanafunzi upoiye ni uja uko na tabia ripoiye na ishima ja hali ya ighu,ujha,41,Ujha ni m'bori,,,
review,substitution,i/o,1.8,niko,105,Seji niko mkosi.,noko,60,Msakeghada sa w'ana w'a noko.,,,
review,indel,k,1.2,koko,76,Kunoneka koko aghadi.,oko,88,Mlungu oko moyo.,,,
review,substitution,l/m,2.2,kala,113,Sere yake idadua kwa kala na kala.,kama,51,Nawenda kama Ng'ombe,,,
review,substitution,i/e,1.3,eri,92,Wandu wamu wadakaiya nyumbenyi rawo eri kuepuka hali rizamie ra hewa,iri,72,Ola kurighore maza iri.,,,
review,substitution,a/o,2.6,ija,45,Skulu ija yeaghwa kavui na moda,ijo,119,Ituku ijo.,,,
review,substitution,u/a,3.1,aja,40,Neshomea skulu aja____,uja,124,Mwanafunzi upoiye ni uja uko na tabia ripoiye na ishima ja hali ya ighu,,,
review,substitution,k/y,4.3,iko,31,Chovu mbaa yawesela msidunyi iko na wana wake wadadu,iyo,133,Igho jiko moyo na iyo mbari ya wueli.,,,
review,substitution,w/r,1.4,radima,93,Ndodo rako radima kuka loli,wadima,68,"Kusakeobua, wadima kukaia moyo.",,,
review,substitution,w/b,7.0,mbai,20,Agha ni matuku gha kutua mbai.,mwai,141,Mwai wapo waghalie kwawo.,,,
review,substitution,a/i,2.5,ija,45,Skulu ija yeaghwa kavui na moda,iji,114,Iji w'aw'onyera lubando uchaainjwa.,,,
review,substitution,r/y,2.4,rose,112,Nyonyi rose ra mbeonyi nariichi.,yose,46,Odaika chofi yose.,,,
review,indel,k,2.0,niko,105,Seji niko mkosi.,nio,52,Aho nio dawona yawaumiza wandu zaidi.,,,
review,substitution,k/v,2.6,kala,113,Sere yake idadua kwa kala na kala.,vala,44,Bonya kazi na vala vako veni.,,,
review,substitution,k/n,3.6,maka,34,Nazoe kukora maka,mana,123,Msinde mana.,,,
review,substitution,v/y,5.5,ivo,24,Ivo vindo vaka na msingo ghupoie.,iyo,133,Igho jiko moyo na iyo mbari ya wueli.,,,
review,indel,m,9.4,mwai,141,Mwai wapo waghalie kwawo.,wai,15,Ni ncha wai na wadawana wishome,,,
review,substitution,m/r,9.4,mwai,141,Mwai wapo waghalie kwawo.,rwai,15,Rwai yadareda makongo,,,
review,indel,a,5.7,mabaa,23,Wukame ghukazidi ghwadareda maafa mabaa kwa wakulima na walisha,mbaa,132,Lukundo ni nguvu mbaa,,,
review,substitution,v/s,2.6,w'asi,112,Ilombi jelomba w'utesia ngelo kwapata w'asi.,w'avi,43,"W'ana w'esighwa w'akiw'a, ndew'ine w'avi w'awo",,,
review,substitution,r/k,2.6,kose,43,Teknologia yarahisisha mawasiiano kose wurumwengunyi,rose,112,Nyonyi rose ra mbeonyi nariichi.,,,
review,substitution,o/i,1.2,iri,72,Ola kurighore maza iri.,iro,83,Nichaamumanyisha iro maza.,,,
review,substitution,k/p,2.9,wake,114,Mumi wake ni kitoi.,wape,40,Mkeku wawamnosa mwana wape.,,,
